station_id,district,rows,rent_MAE,return_MAE,net_flow_MAE
ST-3021,마포구,720,0.45658189540759025,0.46730054086971823,0.6064043495028049
ST-216,서대문구,720,0.5496191093526409,0.3529538449765594,0.6059149747869337
ST-3193,강북구,720,0.45498895660955896,0.43446476964173714,0.6048509634684246
ST-812,강남구,720,0.5015677872412538,0.5313481559712794,0.6037564784433783
ST-1745,성북구,720,0.4530883345287001,0.3374409505896923,0.6034002304404286
ST-43,서대문구,720,0.4483919758380427,0.438693445506445,0.6030899393871617
ST-1935,금천구,720,0.45032366190717765,0.36179279393302344,0.6011295811219598
ST-809,용산구,720,0.5539089823237325,0.4540892746115058,0.6006480061696368
ST-1594,강동구,720,0.42752783919039894,0.42410309347942216,0.6006392930520758
ST-2393,관악구,720,0.5934205498315321,0.14437057467307898,0.5994973049826514
ST-2638,금천구,720,0.4235604969166274,0.4183138196819924,0.5990532975940472
ST-324,중구,720,0.5258833580742031,0.30176425996848344,0.5989341021848712
ST-532,강서구,720,0.5149752755649679,0.3020192321634742,0.5984294409871462
ST-1518,강북구,720,0.42266165748777185,0.38855270463372193,0.595269006227795
ST-3053,중구,720,0.6072202775958545,0.1476761513627855,0.5952329213495953
ST-2287,서초구,720,0.411295377807254,0.4997589525402071,0.594645751039411
ST-2194,서대문구,720,0.47427413603014357,0.4730061232201826,0.5942491211906341
ST-1383,성북구,720,0.4209915383294301,0.40678572495429827,0.5932512916437235
ST-775,양천구,720,0.5023690972050548,0.33478777193409415,0.5916039630018914
ST-2680,강남구,720,0.44352445278267627,0.44861471899291516,0.5913294436556088
ST-1277,송파구,720,0.3964230353819399,0.40477876981312916,0.5907004956757662
ST-2652,송파구,720,0.5628958199256164,0.16283644295922972,0.5905220097983485
ST-721,관악구,720,0.4956208975259727,0.33022629689672545,0.589713454245749
ST-3284,강서구,720,0.41082845910509935,0.44032668053923224,0.5896770057669666
ST-1156,관악구,720,0.466703387225811,0.44142093681061473,0.5895208551498179
ST-786,양천구,720,0.5508094083138078,0.2506704484322191,0.5858055741221936
ST-3383,영등포구,720,0.4264991460268053,0.2943024685699015,0.583604257414811
ST-3135,용산구,720,0.40412852430251484,0.4907552639637736,0.5828568300285967
ST-1248,송파구,720,0.3879474444628147,0.4411712144936226,0.581864966001127
ST-2824,구로구,720,0.44873034380585874,0.4265742353212244,0.5797135441751752
ST-937,은평구,720,0.4440341874074235,0.41200128391640034,0.5789541964416132
ST-543,광진구,720,0.4490540085162628,0.43018495792920736,0.5770930909063
ST-642,동대문구,720,0.4104185326971891,0.4191022745793311,0.5769784207600146
ST-1929,구로구,720,0.5142487516427322,0.2387548660930367,0.5766340088085653
ST-647,강북구,720,0.4790194322677348,0.46373708402881797,0.5762990836991354
ST-2219,서초구,720,0.40980673750291685,0.4148247729358284,0.5753995397316574
ST-1188,강서구,720,0.442066774071726,0.3777126762307762,0.5730622078244896
ST-1182,강서구,720,0.5297889103862505,0.532281595179938,0.5723891629412194
ST-3414,종로구,720,0.4487984557237991,0.4184699551333709,0.572173102907195
ST-1901,구로구,720,0.4382616397526151,0.46273747400671067,0.5715243186627231
ST-2598,송파구,720,0.450666649272136,0.44049608602327267,0.569942257911734
ST-1247,송파구,720,0.45608676729110703,0.4678026649621384,0.5687892472662465
ST-1918,서초구,720,0.41302548566384184,0.3445010897224482,0.5682736944641432
ST-168,종로구,720,0.49203988591007164,0.25002717453048395,0.567830599997723
ST-1670,노원구,720,0.45685628676960527,0.4630819298063554,0.5677631850675375
ST-886,관악구,720,0.44317188775721506,0.38334254908827214,0.5673324084024399
ST-2522,중구,720,0.4485558378659341,0.4645321797429307,0.5667348946802127
ST-3347,UNKNOWN,720,0.4907684512709635,0.45287122087553877,0.5666444462340515
ST-2927,강남구,720,0.4047211162679882,0.4495808613253064,0.5661028178288368
ST-3041,영등포구,720,0.4297388469182159,0.32878004883628353,0.5649793497726141
ST-2246,서초구,720,0.4641588329067974,0.27950286726457013,0.5646817656511056
ST-929,서초구,720,0.40896228228202847,0.35971163808174883,0.5644874010232591
ST-3108,강남구,720,0.5416731341047779,0.1844421519673639,0.5636872745819569
ST-2942,중랑구,720,0.4437261501356181,0.3040496604270839,0.5630369460023853
ST-3418,종로구,720,0.47989073030635776,0.4316249002496098,0.5594569228837476
ST-3161,중구,720,0.48866951934860164,0.37305688885057997,0.5590219967523865
ST-1538,강북구,720,0.39003461489420643,0.36808716594457724,0.5585585510241763
ST-2875,서초구,720,0.43266145129801675,0.44076981697335443,0.5580093477239995
ST-2872,관악구,720,0.43385855590000755,0.4485896528402485,0.5573290620559019
ST-1056,강동구,720,0.34042678081598154,0.36952127553743425,0.5561048568467787
ST-1252,강서구,720,0.4996396314294447,0.4048404506935321,0.5553818343684601
ST-2462,구로구,720,0.3916261524361291,0.37654062169219205,0.5547851322427336
ST-962,은평구,720,0.5484765982622798,0.20640808334819946,0.552154993422884
ST-1576,강남구,720,0.4096706200355685,0.31604778597772293,0.550392499461103
ST-3427,종로구,384,0.42483682033583287,0.4440088252450456,0.5487624842357691
ST-2367,동작구,720,0.5415155566914931,0.10518976134514078,0.5486705885927287
ST-3336,강동구,720,0.36976694831238116,0.4214708569379045,0.5482663964377489
ST-2617,송파구,720,0.45610239980962636,0.3751711630450425,0.5464672369800726
ST-2577,송파구,720,0.4228206911792448,0.4088580353149011,0.5464581206391861
ST-789,강남구,720,0.5124611252446942,0.20490873198069315,0.546035868240705
ST-1033,강동구,720,0.4101002267388017,0.40207923856953925,0.5456821069468903
ST-2196,관악구,720,0.41618265946093175,0.3856906097382268,0.5455824362026982
ST-1623,강동구,720,0.41944713771492914,0.38250510063591636,0.5442746610852471
ST-2624,중구,720,0.4216180675926481,0.33880468332622526,0.543925880993215
ST-3430,도봉구,384,0.3778975117664749,0.46259576900298544,0.54373017519762
ST-2828,구로구,720,0.4236745496151253,0.397442679059418,0.5434329556544046
ST-628,동대문구,720,0.37385586797230036,0.41485529287240636,0.5430691774894266
ST-2619,송파구,720,0.47384546664707367,0.22433495017344235,0.5425079373059992
ST-1392,성북구,720,0.4445948869025575,0.42801272703699855,0.5418052233209161
ST-3220,영등포구,720,0.53414052501939,0.06946135400001999,0.5413960190172309
ST-1180,강서구,720,0.5250145878866527,0.244646335849156,0.5412127770351195
ST-1143,금천구,720,0.4551587265762052,0.17506500704848924,0.5406794092376467
ST-3091,도봉구,720,0.4809362418962587,0.3378527986359545,0.5395856251926375
ST-230,영등포구,720,0.3967835940922478,0.4219500529274055,0.5387851542748947
ST-2684,강남구,720,0.456048431497919,0.4051275923038074,0.5371008358744461
ST-370,중구,720,0.39373671814470584,0.33801769863909453,0.537077167479028
ST-1789,중구,720,0.46595055005591235,0.25038635642980733,0.5349573825144336
ST-2931,금천구,720,0.36678882150653325,0.336113331651559,0.5344477139445271
ST-476,중구,720,0.4705984156733432,0.38230875403937453,0.5330253553346352
ST-1172,강서구,720,0.44400466895848517,0.4572183487831949,0.5327456147776763
ST-3134,서대문구,720,0.38114914944947653,0.371459235252178,0.5322272376133046
ST-2198,관악구,720,0.42513625588338494,0.335272656964623,0.5321546344419951
ST-2983,마포구,720,0.5242389056313246,0.08417468141817917,0.5314583776242017
ST-3290,노원구,720,0.36230718022268193,0.35891531964068546,0.5303873102150607
ST-2202,서초구,720,0.39321373421968664,0.34970546784662987,0.5296933712200181
ST-1708,도봉구,720,0.43203214857979405,0.3576259292268868,0.52905824256725
ST-3352,강동구,720,0.39275261638804826,0.4069007311040336,0.5289497549015281
ST-1957,구로구,720,0.4294812843694351,0.2658536038010262,0.5285111774093815
ST-3088,구로구,720,0.4550645296322164,0.36858691420563705,0.5279538075004322
ST-1852,송파구,720,0.4031837583678342,0.3702293258129578,0.5278368311537756
ST-2260,은평구,720,0.3459308815336145,0.371734558485492,0.5270726758107396
ST-2690,강남구,720,0.32011293810882885,0.4276211218890842,0.5269954227488758
ST-2838,강남구,720,0.3612376773173376,0.3515554778988331,0.5258633696640205
ST-1130,강서구,720,0.48753161885524804,0.14766696537946555,0.5245924066025227
ST-3237,구로구,720,0.5113410674457185,0.08976211276291728,0.5245630883159713
ST-2424,강동구,720,0.3808695290316868,0.3859765186294147,0.5241289563291939
ST-2497,동대문구,720,0.46489793229263593,0.39417861803463794,0.5209769640201581
ST-3027,서대문구,720,0.42984609321400113,0.40280137091692914,0.5206095307316724
ST-925,은평구,720,0.42144595481578345,0.2836018294949373,0.5195216146560376
ST-2469,용산구,720,0.3960792152320727,0.37123580497118336,0.5184948586551438
ST-2130,관악구,720,0.4198145613335315,0.37010442121397774,0.5179128393790907
ST-1634,노원구,720,0.42477417568993253,0.21283530155867988,0.51581998571626
ST-2288,서초구,720,0.3291903747920386,0.3749320231084867,0.5153525945801747
ST-1776,중구,720,0.44817249117000707,0.4227518278390634,0.5151334010754528
ST-2338,성동구,720,0.518426053961905,0.12403852736406978,0.5150663090077413
ST-2597,송파구,720,0.38205452823178154,0.3646581656946038,0.5140162239823436
ST-3154,강동구,720,0.3714703139900958,0.3348348151108334,0.5137390575285513
ST-1815,종로구,720,0.42635925439361444,0.16889909815758244,0.5133557028410248
ST-1870,금천구,720,0.4342997732516378,0.36325557775842393,0.5126152134627409
